item_id,patterns,text_preview
1.3.5-바,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","바) 승강로 내 도르래·풀리 및 스프로킷의 보호수단은「엘리베이터 안전기준」9.7에 따라 보호되어 있는지 확인한다."
1.3.5-사,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","사) 엘리베이터 승강로 내에는「엘리베이터 안전기준」6.1.2.1에 따라 다른 용도의 설비가 없는지 확인한다."
1.3.5-아,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","아) 승강로에 설치된 출입문·비상문 및 점검문이「엘리베이터 안전기준」6.3.3가)?나)?다)?라)에 따라 적합한지 확인한다."
1.3.6-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 문짝 간 틈새나 문짝과 문틀 또는 문턱 사이의 틈새가「엘리베이터 안전기준」7.1.4에 따라 적합한지 확인한다."
1.3.7-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 승강로 내 조명이「엘리베이터 안전기준」6.1.4, 6.1.5.1라)에 따라 조도, 점멸수단이 적합한지 확인한다."
1.3.7-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 피트 내 콘센트가「엘리베이터 안전기준」6.1.5.1다)에 따라 1개 이상 있는지 확인한다."
1.3.8-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","주행안내 레일이「엘리베이터 안전기준」11.1.4에 따라 적합한지 확인한다."
1.4.1-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 카 바닥에서 1.1m 미만에 유리가 사용된 카 벽의 경우,「엘리베이터 안전기준」8.3.3에 따라 손잡이의 고정상태가 적합한지 확인한다."
1.4.1-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 카 내부(화물용 엘리베이터의 경우, 승강장의 적재구역)에「엘리베이터 안전기준」8.2.3.2 및 8.2.3.3에 따른 정격하중 등이 표기되어"
1.4.1-라,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","라) 카의 조명이「엘리베이터 안전기준」8.10.1에 따라 적합한지 확인한다."
1.4.1-마,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","마) 카의 비상등이「엘리베이터 안전기준」8.10.4에 따라 적합한지 확인한다."
1.4.1-바,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","바) 카의 과부하감지장치가「엘리베이터 안전기준」16.1.2.3가)?나)?다)에 따라 작동하는지 확인한다."
1.4.1-사,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","사) 에이프런이「엘리베이터 안전기준」8.5에 따라 견고하게 고정되어 있는지 확인한다."
1.4.2-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 점검운전 조작반, 정지장치 및 콘센트가「엘리베이터 안전기준」8.8에 따라 카 상부에 있는지 확인한다."
1.4.2-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 카 지붕의 점검운전 스위치가 작동 시「엘리베이터 안전기준」16.1.5.2.1에 따라 정상운전제어, 도어작동 제어가 무효화 되는지 확인한다."
1.4.2-다,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","다) 카 지붕의 비상등이 「엘리베이터 안전기준」8.10.4가)?다)에 따라 적합한지 확인한다."
1.4.3-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 문짝 간 틈새나 문짝과 문틀 또는 문턱 사이의 틈새는「엘리베이터 안전기준」7.1.4에 따라 적합한지 확인한다."
1.4.3-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 자동동력 작동식 문의 표면은「엘리베이터 안전기준」7.6.1에 따라 함몰되거나 돌출부분이 없는지 확인한다."
1.4.3-라,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","라) 카 문의 문턱과 승강장문의 문턱 사이의 수평 거리는「엘리베이터 안전기준」7.4.1에 따라 적합한지 확인한다."
1.4.4-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 문닫힘 안전장치가「엘리베이터 안전기준」7.6.2.2.1나)?라)에 따라 작동 하는지 확인한다."
1.4.4-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 카 내부의 열림 버튼이「엘리베이터 안전기준」7.6.3에 따라 작동하는지 확인한다."
1.4.4-다,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","다) 문의 틈새가「엘리베이터 안전기준」7.5.3.3에 따라 45 mm(중앙 개폐식 문), 30 mm(측면 개폐식 문)를 초과하지 않는지 확인한다"
1.4.4-라,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","라) 승강장 바닥의 조명이「엘리베이터 안전기준」7.7.1에 따라 50 lx(자동차용 엘리베이터의 승강장 바닥 조명의 경우 150 lx) 이상인지"
1.4.4-마,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","마) 카가 잠금해제구간 밖에 있을 때,「엘리베이터 안전기준」7.9.3.4에 따라 승강장문이 100 mm 열린 상태에서 자동으로 닫히고 잠기는지 "
1.4.4-바,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","바) 승강장문의 비상잠금해제가「엘리베이터 안전기준」7.9.3.1에 따라 비상잠금해제 삼각열쇠를 사용하여 외부에서 잠금해제 할 수 있는지 확인한다"
1.4.4-사,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","사) 비상잠금해제 삼각열쇠가 특수 도구로 간주되는 경우「엘리베이터 안전기준」7.9.3.2에 따라 해당 엘리베이터가 설치되어 있는 장소에 비치되어"
1.4.4-아,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","아) 비상잠금해제 후, 승강장문 잠금장치는「엘리베이터 안전기준」7.9.3.3에 따라 잠금해제 상태로 유지되지 않는지 확인한다."
1.4.4-자,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","자) 카 문의 개방을 제한하기 위해「엘리베이터 안전기준」7.15.2에 따라 카 문의 열림이 50 mm 이상 열리지 않는지 확인한다."
1.4.4-차,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","차) 각 승강장문의 닫힘을 입증하는 접점이 개방되면「엘리베이터 안전기준」7.9.4에 따라 잠금해제구간 밖의 카가 정지하고 움직이지 않는지 확인한"
1.4.4-카,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","카 승강장문의 닫힘 및 잠금 상태를 입증하는 장치는「엘리베이터 안전기준」7.10에 따라 적합한지 확인한다."
1.4.4-타,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","타) 카 문의 잠금장치가「엘리베이터 안전기준」7.9.2에 따라 적합한지 확인한다."
1.4.4-파,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","파) 카 문의 닫힘을 입증하는 전기안전장치가「엘리베이터 안전기준」7.13에 따라 적합한지 확인한다."
1.4.6-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","「엘리베이터 안전기준」16.1.1.3에 따라 시각적 표시 또는 신호가 카 내에 있는 사람이 엘리베이터가 어느 층에 정지했는지 알 수 있도록 설치"
