id,item_id,introduction_type,left
2777,8.11.3,old,"4.1.3(2) 카 도어스위치 및 도어개폐장치의 설치상태는 견고하고, 각 부분의 연결 및 작동상태는 양호하여야 한다. 
  나) 카가 7.8.1에 따른 잠금해제구간 밖에 있을 때, 카문은 1,000 N의 힘으로 50"
2778,8.11.3,old,""
2781,8.1,old,""
2782,8.1.1,current,"8.1.1 카 내부의 유효 높이는 2 m 이상이어야 한다. 다만, 자동차용 엘리베이터는 제외한다.
승강기 안전기준 연혁집[v1.0]
❙ 106"
2786,8.2.1.1,old,""
2794,8.2.1.4,current,"8.2.1.4 카의 과부하는 16.1.2의 수단에 의해 감시되어야한다.
승강기 안전기준 연혁집[v1.0]
❙ 108
[ 표 5. 정격하중 및 최대 카 유효 면적 ]
정격하중, 무게 
(㎏)
최대 카 유효 면적 
(㎡"
2796,8.2.2,old,""
2801,8.2.2.1,current,"8.2.2.1 화물용 엘리베이터의 경우 8.2.1의 요구사항은 다음 조건 중 하나에 적용되어야 
한다.
  가) 운송장치(차량, 화물을 손으로 다루는 장치 등)의 무게를 정격하중에 포함시키는 경우
  나) 운송장치의"
2804,8.2.3.1,current,"8.2.3.1 정원(카에 탑승할 수 있는 승객의 최대 인원수를 말한다)은 다음 중 작은 값에서 
얻어야 한다. 주택용 엘리베이터의 경우 가)에 따라 얻는다.
  가) 다음식에서 계산된 값을 가장 가까운 정수로 버림 "
2805,8.2.3.1,old,""
2807,8.2.3,old,""
2810,8.2.3,old,"3.1.8 적재하중 및 최대정원
적재하중은 표 2에 의하여 계산한 값 이상으로 하여 50㎏ 단위(바닥면적 1㎡ 이하인 덤웨이터의 경우는 10㎏ 단위)로 표시
하고, 최대정원은 1인당 하중을 65㎏으로 계산한 정원으로"
2813,8.2.3.2,old,"3.1.8 적재하중 및 최대정원
적재하중은 표 2에 의하여 계산한 후 50㎏ 단위로 절상한 값으로 하고, 최대정원은 1인당 하중을 65㎏으로 계산한 정원으로 
한다.
표 2
구          분
적  재  하  중"
2254,6.6.5.2,current,"6.6.5.2 작업구역
  기계류 공간 전면의 작업구역은 6.6.4.2에 따른 치수에 적합해야 한다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표22
65 ❙"
1912,6.1.2.1,current,"6.1.2.1 승강로, 기계실․기계류 공간 및 풀리실은 엘리베이터 전용으로 사용되어야 한다.
엘리베이터와 관계없는 배관, 전선 또는 그 밖에 다른 용도의 설비는 승강로, 기계실․
기계류 공간 및 풀리실에 설치되어서는"
1917,6.1.2.3,current,"6.1.2.3 6.5.2.3에 따른 반-밀폐식 엘리베이터의 경우, 다음의 구분에 따른 공간은 승강로로
간주한다.
  가) 벽이 있는 경우: 벽 내부 공간
  나) 벽이 없는 경우: 움직일 수 있는 부품으로부터 수평거"
1924,6.4.8,old,"3.1.5(6) 기계실의 유지관리에 지장이 없도록 조명 및 환기시설은 다음 각항의  기준에 적합하여야 한다.
 ② 자연환기하는 경우에 환기창 또는 갤러리 등의 합산한 크기는 기계실 바닥면적의 1/20 이상이어야 하고"
1930,6.1.4.2,current,"6.1.4.2 기계실·기계류 공간 및 풀리실에는 다음의 구분에 따른 조도 이상을 밝히는 영구적
으로 설치된 전기조명이 있어야 하며, 전원공급은 14.7.1에 적합해야 한다.
  가) 작업공간의 바닥 면: 200 ㏓
"
1931,6.1.4.2,old,""
1948,6.1.7,old,""
1938,6.1.5.1,current,"6.1.5.1 피트에는 다음과 같은 장치가 있어야 한다.
  가) 16.1.11에 적합하고, 피트 출입문 및 피트 바닥에서 잘 보이고 접근 가능한 정지장치.
이 정지장치는 다음 사항을 만족해야 한다.
      1)"
1939,6.1.5.1,old,""
1942,6.1.5.1,old,"4.1.4(16) 작업등 및 피트 정지스위치의 설치상태는 견고하고, 작동상태는 양호하여야 한다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표22
15 ❙"
2255,6.6.5.2,old,""
1953,6.1.8.1,current,"6.1.8.1 승강로, 기계실·기계류 공간 및 풀리실은 「건축법」 등 관련 법령에 적합한 구조
이어야 하고, 구동기에 의한 하중, 추락방지안전장치 작동 순간의 주행안내 레일, 카의 
편심하중, 완충기의 작용, 튀어오"
1962,6.1.8.3,old,"3.1.3(2) 시행
3.1.3(2) 승강로의 벽 또는 울 및 출입문은 불연재료로 만들거나 씌워야 한다. 다만, 승강로의 벽(건축법 시행령 제46조의 규정에 
의하여 당해 건축물의 다른 부분과 방화구획한 부분이외의 "
1968,6.1.8.5,old,"5.3.2.2 피트 바닥은 전 부하 상태의 카가 완충기에 작용하였을 때 완충기 지지대 아래에 부과되는 정하중의 4배를 지지할 
수 있어야 한다.
4ㆍgnㆍ(P+Q)
여기서,
P : 카 자중 및 이동케이블, 균형 로프"
1973,6.1.8.8,current,"6.1.8.8 유압식 엘리베이터의 경우, 멈춤쇠 장치가 작동하는 동안 고정된 정지위치에 부과
되는 전체 수직력은 다음 공식에 따라 계산될 수 있다.
  가) 에너지 축적형 완충기가 적용된 멈춤 쇠 장치


"
1977,6.1.9.1,old,""
1981,6.1.9.2,old,""
1983,6.3.2.2,current,"6.3.2.2 기계실 바닥은 콘크리트 또는 체크 플레이트 등의 미끄러지지 않은 재질로 마감되어야 한다.
승강기 안전기준 연혁집[v1.0]
❙ 20"
1992,6.2.2,current,"6.2.2 승강로, 기계실·기계류 공간, 풀리실의 출입문에 인접한 접근 통로는 50 ㏓ 이상의 
조도를 갖는 영구적으로 설치된 전기 조명에 의해 비춰야 한다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표22
"
1994,6.2.3,old,""
1999,6.2.4,current,"6.2.4 피트 출입수단은 다음 구분에 따른 수단으로 구성되어야 한다.
  가) 피트 깊이가 2.5 m를 초과하는 경우: 피트 출입문
  나) 피트 깊이가 2.5 m 이하인 경우: 피트 출입문 또는 승강장문에서 쉽게"
2004,6.2.4,old,"3.1.3(12) 피트에는 유지관리상 지장이 없도록 피트점검용 사다리 또는 출입구를 설치하여야 하며, 다음 각항의 기준에 적합
하여야 한다. 다만, 피트깊이가 1.5m 미만인 경우에는 그러하지 아니하다.
① 사다리는"
2007,6.2.5,old,""
2010,6.2.3,old,""
2017,6.3.1,current,"6.3.1 연속되는 상·하 승강장문의 문턱간 거리가 11 m를 초과한 경우에는 다음 중 어느 
하나의 조건에 적합해야 한다.
  가) 중간에 비상문이 있어야 한다.
  나) 서로 인접한 카에 8.6.2에 따른 비상구"
2024,6.4.7.2,old,"3.1.5(9) 기계실로 가는 복도․계단 및 출입문 등은 다음 각항의 기준에 적합하여야 한다. 
③ 출입문은 보수관리 및 방재를 고려하여 잠금장치가 있는 금속제 문을 설치하여야 하고, 유효 개구부의 폭 0.7m 이상"
2028,6.3.3,old,"5.2.2.2 점검문 및 비상문은 승강로 내부로 열리지 않아야 한다.
5.2.2.2.1 문에는 열쇠로 조작되는 잠금장치가 있어야 하며, 열쇠 없이 다시 닫히고 잠길 수 있어야 한다. 점검문 및 비상문은 
문이 잠겨있"
2044,6.4.3,old,"15.5.4 다음과 같은 경우 필요한 모든 운전지침이 있는 경고문이 승강로의 적절한 위치에 표기되어야 한다.
 - 집어넣을 수 있는 플랫폼(6.4.5) 및 움직일 수 있는 멈춤 쇄기 [(6.4.5.2나)]
 - 수동"
2060,6.5.2.1,current,"6.5.2.1 일반사항
  엘리베이터는 다음 구분 중 어느 하나에 의해 주위와 구분되어야 한다.
  가) 불연재료 또는 내화구조의 벽, 바닥 및 천장
승강기 안전기준 연혁집[v1.0]
❙ 30
  나) 충분한 공간"
2134,6.6.1.2,old,""
2067,6.5.2.2.1,current,"6.5.2.2.1 승강로는 구멍이 없는 벽, 바닥 및 천장으로 완전히 둘러싸인 구조이어야 한다. 
다만, 다음과 같은 개구부는 허용된다.
  가) 승강장문을 설치하기 위한 개구부
  나) 승강로의 비상문 및 점검문을"
2069,6.5.2.3,current,"6.5.2.3 반-밀폐식 승강로
  내화구조 또는 방화구조가 요구되지 않는 승강로(갤러리, 중앙 홀, 타워 등에 설치된 
엘리베이터의 승강로 또는 외기에 접하는 승강로 등)는 다음과 같아야 한다.
  가) 사람이 일"
2070,6.5.2.3,old,"5.2.1.2 반-밀폐식 승강로
방화구조 또는 내화구조가 요구되지 않은 승강로(갤러리, 중앙 홀, 타워 등에 설치된 엘리베이터의 승강로 또는 외기에 접하는 
승강로 등)는 다음 사항을 모두 만족하는 경우 완전히 둘러"
2074,6.5.3.1,old,"5.4.1 카 출입구와 마주하는 승강장문 및 벽이나 벽의 일부분에 관련된 다음 사항은 승강로 전체 높이에 걸쳐 적용되어야 
한다.
카 출입구와 마주하는 승강로 벽과 카사이의 틈새는 11의 규정을 참조한다.
5.4.2"
2075,6.5.3.1,old,"3.1.3(6)② 시행
3.1.3(6) 카 바닥 앞부분과 승강로 벽과의 수평거리는 다음 각항의 기준에 적합하여야 한다. 다만, 카 도어록이 설치되어 사람의 
힘으로 열 수 없는 경우 또는 화물용(자동차용 제외) 엘리"
2171,6.6.3.3,old,""
2078,6.5.3.1,old,"3.1.3(6) 카 바닥 앞부분과 승강로 벽과의 수평거리는 다음 각항의 기준에 적합하여야 한다. 다만, 화물용 엘리베이터의 경우에는 
그러하지 아니하다.
 ① 수평거리는 125㎜ 이하이어야 하며, 출입구가 2개인 엘"
2081,6.5.3.2,current,"6.5.3.2 각 승강장문의 문턱 아랫부분은 다음과 같아야 한다.
  가) 수직면은 승강장문의 문턱에 직접 연결되어야 하며, 수직면의 폭은 카 출입구 폭에
다 양쪽 모두 25 ㎜를 더한 값 이상이어야 하고, 수직면의"
2084,6.5.4,old,"5.5 카, 균형추 또는 평형추 하부에 위치한 공간의 보호
   카, 균형추 또는 평형추 하부에 위치한 공간의 보호 카, 균형추 또는 평형추 하부에 접근할 수 있는 공간이 있는 경우,
피트의 기초는 5,000 N/㎡"
2140,6.6.2.3,current,"6.6.2.3 기계실(6.6.3), 기계류 공간(6.6.5.1) 또는 비상운전 및 작동시험을 위한 패널
(6.6.6)에는 엘리베이터의 갑작스런 고장발생 시 그 고장처리에 관한 설명서가 있어야 
한다. 
특히, 승객 "
2088,6.5.5.1,old,"5.6.1 균형추 또는 평형추의 주행구간은 엘리베이터 피트 바닥으로부터 0.3 m 이하(균형체인ㆍ로프 간섭 등 부득이한 경우에는 
완충기의 최저 이동 높이 이하로 한다)부터 2.0 m 이상의 높이까지 연장된 견고한 "
2096,6.5.5.2.2,old,"5.6.2.2 칸막이는 카 지붕의 모서리와 인접한 엘리베이터의 움직이는 부품(카, 균형추 또는 평형추) 사이의 수평거리가 0.5 m 
미만인 경우에는 승강로 전체 높이까지 설치되어야 한다. 
      칸막이의 폭은"
2144,6.6.3.1,old,""
2103,6.5.6.1.4,current,"6.5.6.1.4 직접 유압식 엘리베이터의 경우에는 표 1의 0.035・ 값을 고려할 필요가 없다.
승강기 안전기준 연혁집[v1.0]
❙ 42"
2113,6.5.7.1,current,"6.5.7.1 카가 6.5.6.1에 따른 최고 위치에 있을 때 표 2에 따른 피난공간을 수용할 수 있는
유효 구역이 1개 이상 카 지붕에 있어야 한다.
표 2의 유형 2에 따른 피난공간이 카 지붕의 고정된 부품과 닿"
2148,6.6.3.2.1,old,""
2114,6.5.7.2,current,"6.5.7.2 카가 6.5.6.1에 따른 최고 위치에 있을 때, 승강로 천장의 가장 낮은 부분(천장 
아래에 있는 빔 및 부품을 포함)과 다음 구분에 따른 카 지붕의 설비 사이의 유효 거리는
다음과 같아야 한다.
 "
2116,6.5.7.2,old,"[전기식]
3.1.3(7) 꼭대기틈새 및 피트깊이는 다음 각항의 기준에 적합하여야 한다.
 ① 꼭대기틈새는 카를 최상층에 정지시켜 놓은 상태에서 카의 상부체대와 승강로 천장부와의 수직거리를 측정하여 표 1에서 
규정"
2122,6.5.8.1,current,"6.5.8.1 피트에는 카가 6.5.6.1에 따른 최저 위치에 있을 때, 표 3에 따른 어느 하나에 해당
하는 피난공간이 1개 이상 있어야 한다. 다만, 주택용 엘리베이터의 경우에는 움직이는 
수단에 의해 카가 이 "
2123,6.5.8.2,current,"6.5.8.2 카가 6.5.6.1에 따른 최저 위치에 있을 때, 다음과 같아야 한다.
  가) 피트 바닥과 카의 가장 낮은 부분 사이의 유효 수직거리는 0.5 m 이상이어야 한다. 
다만, 다음과 같은 경우에는 유효"
2125,6.5.8.2,old,"3.1.3(7) 꼭대기틈새 및 피트깊이는 다음 각항의 기준에 적합하여야 한다.
 ② 피트깊이는 최하층의 바닥면에서 카의 수평투영면에 있는 피트 바닥 또는 가장 높이 돌출된 지중보까지의 수직거리를 
측정하여 표 1에서"
2128,6.6.1,old,""
2149,6.3.3.1,current,"6.3.3.1 기계실 크기는 설비, 특히 전기설비의 작업이 쉽고 안전하도록 충분하여야 한다.
작업구역에서 유효 높이는 2 m 이상이어야 하고 다음 사항에 적합하여야 한다.
 가) 제어 패널 및 캐비닛 전면의 유효 수"
2154,6.6.3.2.2,old,""
2157,6.6.3.2.3,old,""
2159,6.6.3.2.4,current,"6.6.3.2.4 기계실 바닥에 0.5 m를 초과하는 단차가 있는 경우, 6.2.5에 따른 고정된 사다리
또는 보호난간이 있는 계단이나 발판이 있어야 한다.
승강기 안전기준 연혁집[v1.0]
❙ 56"
2160,6.6.3.2.4,old,""
2166,6.6.3.2.5,old,""
2172,6.3.5,current,"6.3.5 기타 개구부
슬라브 및 바닥의 구멍은 그 목적을 위해 치수를 최소로 줄여야 한다. 승강로 위에 위치한 개구부를 통해 전선을 포함한 물건이 
떨어지는 위험이 없도록 금속 또는 플라스틱으로 된 덮개가 사용되어"
2177,6.6.4.1.1,old,""
2180,6.6.4.1.2,old,""
2184,6.6.4.2.1,current,"6.6.4.2.1 작업구역은 승강로 내부 설비의 작업이 쉽고 안전하도록 다음과 같이 충분한 크기
이어야 한다.
  특히, 작업구역의 유효 높이는 2.1 m 이상이어야 하고, 유효 수평공간은 다음과 같아야 
한다.
 "
2185,6.6.4.2.1,old,""
2189,6.6.4.2.2,old,""
2193,6.6.4.3.1,old,""
2249,6.6.5.1.2,old,""
2194,6.4.3.1,current,"6.4.3.1 구동기의 유지보수 또는 점검을 카 내부 또는 카 지붕에서 수행하는 경우 및 유지보수 또는 점검의 결과로 제어되지 
않거나 예상하지 못한 카의 움직임이 사람을 위험하게 만들 수 있는 경우에는 다음 사항에"
2196,6.6.4.3.2,old,""
2199,6.6.4.3.3,old,""
2202,6.6.4.3.4,old,""
2203,6.4.3.4,current,"6.4.3.4 점검문이 열린 상태로 카 내부에서 카를 움직일 필요가 있는 경우에는 다음 사항에 적합하여야 한다.
 가) 14.2.1.3에 따른 점검운전 제어장치는 점검문 근처에서 이용할 수 있는 위치에 있어야 한다."
2206,6.6.4.4.1,old,""
2207,6.4.4.1,current,"6.4.4.1 피트에서 구동기를 유지보수하거나 점검하는 경우 및 이러한 작업이 카를 움직이는데 필요한 경우 또는 제어되지 않거나 
예상하지 못한 카의 움직임이 발생할 경우에는 다음 사항에 적합하여야 한다.
 가) 5"
2209,6.6.4.4.2,old,""
2212,6.6.4.4.3,old,""
2216,6.6.4.5.1,old,""
2219,6.6.4.5.2,old,""
2220,6.4.5.2,current,"6.4.5.2 카, 균형추 또는 평형추의 주행로에 위치한 플랫폼에서 구동기의 유지보수 또는 점검이 수행되는 경우에는 다음과 
같아야 한다.
 가) 카는 6.4.3.1의 가) 및 나)에 적합한 기계적인 장치를 사용하여"
2222,6.6.4.5.3,old,""
2252,6.6.5.1.3,old,""
2225,6.6.4.5.4,old,""
2226,6.4.5.4,current,"6.4.5.4 6.4.5.3에 추가하여, 집어넣을 수 있는 플랫폼은 다음과 같아야 한다.
 가) 완전히 집어넣은 위치를 확인하는 14.1.2에 적합한 전기안전장치가 설치되어야 한다.
 나) 작업위치에서 집어넣거나 뺄"
2228,6.6.4.5.5,old,""
2231,6.6.4.5.6,old,""
2240,6.6.3.2.1,old,""
2241,6.4.6,current,"6.4.6 승강로 외부의 작업구역
6.1과 달리 구동기는 승강로에 있고 승강로 외부에서 유지보수 또는 점검을 수행하는 경우, 6.3.3.1 및 6.3.3.2에 따른 작업구역은 
승강로 외부에 있을 수 있다. 이 설비"
2245,6.6.5.1.1,old,""
2260,6.6.6.1,old,""
2262,6.6.6.2,current,"6.6.6.2 패널에는 다음과 같은 장치 또는 설비가 있어야 한다.
  가) 16.3.2에 따른 비상통화장치와 함께 13.2.2.2.7 및 13.2.3 또는 13.3.9에 따른 비상
운전을 위한 작동장치
  나) 작"
2268,6.6.6.3,old,""
2271,6.6.6.4,old,""
2279,6.7.1.2.4,current,"6.7.1.2.4 풀리실에 제어 패널 및 캐비닛이 있을 경우, 6.3.3.1 및 6.3.3.2의 규정이 적용된다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표22
67 ❙"
2291,6.7.2,old,""
2296,6.6.7.1.2,old,""
2299,6.6.7.2,old,""
2304,6.7.1.4,old,"7.1.1 엘리베이터의 카로 출입할 수 있는 승강로 개구부에는 구멍이 없는 승강장문이 설치되어야 한다.
8.6.1 카문에는 구멍이 없어야 한다. 다만, 반자동 동력 작동 또는 수동 작동의 수직 개폐식 카문을 사용하는"
2308,6.7.1.4,old,"7.1.2 승강장문이 닫혀 있을 때 문짝사이의 틈새 또는 문짝과 문설주, 인방 또는 문턱 사이의 틈새는 6 mm 이하로 가능한 
작아야 한다. 다만, 마모될 경우에는 10 mm 까지 허용될 수 있다. 이 틈새는 움푹"
2366,7.3.2.2,old,""
2367,7.4.2.2,current,"7.4.2.2 수평 개폐식 승강장문은 상·하부에서 안내되어야 한다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표22
73 ❙"
2332,7.1.2,old,""
2333,7.1.1,current,"7.1.1 엘리베이터의 카로 출입할 수 있는 승강로 개구부에는 구멍이 없는 승강장문이 설치되어야 한다.
8.6.1 카문에는 구멍이 없어야 한다. 다만, 반자동 동력 작동 또는 수동 작동의 수직 개폐식 카문을 사용하는"
2334,7.1.1,old,""
2336,7.1,old,""
2341,7.1.4,old,""
2351,7.2.1,old,""
2353,7.3.1,old,"3.1.2(6) 카 및 승강장 문은 다음 각항의 기준에 적합하여야 한다.
 ① 카 및 승강장 문의 유효 출입구의 높이는 2.0m이상이어야 한다. 다만, 화물용 및 자동차용은 제외한다.
승강기 안전기준 연혁집[v1.0"
2357,7.2.2,old,""
2361,7.3.1,old,""
